IPAddress,Duration (in seconds),LocationLatitude,LocationLongitude,UserLanguage,CONSENT,M1_000_1,M1_001_1,M1_002_1,M1_010_1,M1_011_1,M1_012_1,M1_020_1,M1_021_1,M1_022_1,M1_100_1,M1_101_1,M1_102_1,M1_110_1,M1_111_1,M1_112_1,M1_120_1,M1_121_1,M1_122_1,M1_200_1,M1_201_1,M1_202_1,M1_210_1,M1_211_1,M1_212_1,M1_220_1,M1_221_1,M1_222_1,M2_000_1,M2_001_1,M2_002_1,M2_010_1,M2_011_1,M2_012_1,M2_020_1,M2_021_1,M2_022_1,M2_100_1,M2_101_1,M2_102_1,M2_110_1,M2_111_1,M2_112_1,M2_120_1,M2_121_1,M2_122_1,M2_200_1,M2_201_1,M2_202_1,M2_210_1,M2_211_1,M2_212_1,M2_220_1,M2_221_1,M2_222_1,M3_000_1,M3_001_1,M3_002_1,M3_010_1,M3_011_1,M3_012_1,M3_020_1,M3_021_1,M3_022_1,M3_100_1,M3_101_1,M3_102_1,M3_110_1,M3_111_1,M3_112_1,M3_120_1,M3_121_1,M3_122_1,M3_200_1,M3_201_1,M3_202_1,M3_210_1,M3_211_1,M3_212_1,M3_220_1,M3_221_1,M3_222_1,AC1,M4_000_1,M4_001_1,M4_002_1,M4_010_1,M4_011_1,M4_012_1,M4_020_1,M4_021_1,M4_022_1,M4_100_1,M4_101_1,M4_102_1,M4_110_1,M4_111_1,M4_112_1,M4_120_1,M4_121_1,M4_122_1,M4_200_1,M4_201_1,M4_202_1,M4_210_1,M4_211_1,M4_212_1,M4_220_1,M4_221_1,M4_222_1,M5_000_1,M5_001_1,M5_002_1,M5_010_1,M5_011_1,M5_012_1,M5_020_1,M5_021_1,M5_022_1,M5_100_1,M5_101_1,M5_102_1,M5_110_1,M5_111_1,M5_112_1,M5_120_1,M5_121_1,M5_122_1,M5_200_1,M5_201_1,M5_202_1,M5_210_1,M5_211_1,M5_212_1,M5_220_1,M5_221_1,M5_222_1,AC2
122.164.101.73,710,13.08329773,80.28329468,EN,1,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1
69.125.65.103,284,40.90280151,-74.09600067,EN,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
163.47.14.93,719,9.966705322,76.23330688,EN,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,2,,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1
104.63.226.6,177,39.49139404,-119.8434982,EN,1,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,2,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,1
174.28.29.101,180,35.14039612,-106.4877014,EN,1,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1
117.199.132.127,527,9.933303833,78.11669922,EN,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1
122.164.108.207,67,13.08329773,80.28329468,EN,1,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,2,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,1
73.173.228.88,827,39.13169861,-77.28800201,EN,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1
122.178.20.133,261,13.08329773,80.28329468,EN,1,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,1
157.50.9.148,241,13.08329773,80.28329468,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,1
192.208.59.230,101,37.40330505,-119.6138,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,-4,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,1
96.234.124.91,68,40.84829712,-73.97250366,EN,1,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1
107.77.232.17,263,33.74899292,-84.38800049,EN,1,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4,,2,,,,,,,,,,,,,,,,,,,,,,,,-4,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,1
24.253.69.44,89,35.97810364,-115.2117004,EN,1,,,,,,,,,,,,,,,,,,,,,,,,-5,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5,,,,,,,2,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1
157.50.8.146,233,13.08329773,80.28329468,EN,1,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4,,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,1
74.128.113.7,116,38.01589966,-84.48470306,EN,1,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4,,,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4,,,1
70.118.246.32,182,39.03439331,-94.57219696,EN,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1
